district,Town Name,Total   Households ,Total Population of Town,Total Scheduled Castes Population of Town,Total Scheduled Tribes Population of Town,Area (sq. km.),Density (Census 2011),Electricity-Domestic Connection (Numbers),Electricity-Industrial Connection (Numbers),Electricity-Commercial Connection (Numbers) ,Hospital Allopathic (Numbers),Hospital Allopathic Beds (Numbers),Govt. Primary School (Numbers),Private Primary School (Numbers),Govt. Secondary School (Numbers),Latrines-Pit (Numbers),Latrines-Flush/Pour Flush (Numbers)
Mumbai Suburban,Greater Mumbai (M Corp.) Part,2105604,9356962,583302,104560,603,15517,1508494,10767,28875,17,2176,1159,607,675,31,731680
Mumbai,Greater Mumbai (M Corp.) Part,674339,3085411,219934,25093,N.A.,,282220,7087,96154,19,9645,442,200,294,0,302300
