district,sub_district,town_name,town_total_population,slum_name,is_notified,households_approx,slum_population_approx,paved_roads_km,drainage_system_code,private_latrines_pit,private_latrines_flush,private_latrines_service,private_latrines_others,private_latrines_community,public_water_tap_points,electricity_domestic_conn,electricity_road_lighting_conn,electricity_others_conn,households_without_private_latrine_access_est,sanitation_gap_ratio
Chennai,Area Not Under Any Sub-District,Chennai,12396,GREAMS ROAD,1,100,420,0.5,2,0,30,0,0,0,7,90,4,1,70.0,0.7
Chennai,Area Not Under Any Sub-District,Chennai,12396,AMBEDKAR KUDIYIRUPPU,1,60,252,0.11,2,0,45,0,0,0,4,21,2,1,15.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,MARKEES GARDEN(RIVER SIDE),1,400,1680,2.4,2,0,120,0,0,0,27,360,14,4,280.0,0.7
Chennai,Area Not Under Any Sub-District,Chennai,12396,RANGOON STREET-RIVER SISDE,1,450,1890,1.9,2,0,135,0,0,0,30,405,15,5,315.0,0.7
Chennai,Area Not Under Any Sub-District,Chennai,12396,DOSSPURAM,1,300,1260,1.5,2,0,225,0,0,0,20,270,10,3,75.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,VARADARAJANPET,1,800,3000,3.1,2,0,307,0,0,0,53,720,27,8,493.0,0.616
Chennai,Area Not Under Any Sub-District,Chennai,12396,SEERANIPURAM,1,250,1050,1.5,2,0,188,0,0,0,17,225,9,3,62.0,0.248
Chennai,Area Not Under Any Sub-District,Chennai,12396,DHARAMPURAM,1,1900,5890,3.7,2,0,1425,0,0,0,127,1710,64,19,475.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,PARTHASARATHIPURAM,1,350,1085,2.4,2,0,263,0,0,0,23,315,12,4,87.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,PILLIAR KOIL STREET,1,400,1240,2.3,2,0,300,0,0,0,27,360,14,4,100.0,0.25
Chennai,Area Not Under Any Sub-District,Chennai,12396,BADRIKARAI,1,450,1500,1.7,2,0,338,0,0,0,30,405,15,5,112.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,GANGAIKARAIPURAM,1,550,1705,2.5,2,0,413,0,0,0,37,495,19,6,137.0,0.249
Chennai,Area Not Under Any Sub-District,Chennai,12396,SINGH TEMPLE,1,250,780,2,2,0,188,0,0,0,17,225,9,3,62.0,0.248
Chennai,Area Not Under Any Sub-District,Chennai,12396,KARUMA KULAM,1,150,465,1,2,0,113,0,0,0,10,135,5,2,37.0,0.247
